,0
A1BG,-0.03756277329654152
NAT2,-0.06427275000608403
ADA,0.0049638759199747955
CDH2,0.015570443162192988
AKT3,0.03753031681402008
MED6,-0.3300776910181884
NR2E3,-0.12268380762394092
NAALAD2,0.09724408426221237
DUXB,0.15175837562612476
PDZK1P1,0.03467474619008511
DDTL,0.180474427134795
NAALADL1,0.13775904257186392
SIGLEC14,-0.13945224652646634
ACOT8,-0.31896088439601666
ABI1,-0.06515415746443912
GNPDA1,-0.0026974058600418085
KCNE3,-0.06702813161015804
ZBTB33,-0.024912812070774233
CDH3,0.0501211182869402
TANK,-0.3102110363267024
POM121C,-0.10517260712175147
PMS2P7,0.07532949579037722
TMEM170B,-0.4199220664261113
EGOT,-0.005559284530621049
CTAGE4,0.005373561911462828
CDC42P3,0.05853392020041147
ZBTB42,-0.10169122144371079
FAM106C,0.05928318596982956
MSTO2P,-0.007749425462810014
DPY19L1P1,-0.0441610243034138
ZNF737,-0.05726213031135675
HDAC6,-0.031808181197994424
PARD6G-AS1,-0.2437644367825386
LRRC70,0.07337567671864391
LRRC69,-0.04107565516152553
SBK3,-0.17847316809030006
TSTD3,0.1137445263195295
ZNF663P,0.07490723223062902
SPATA48,-0.2926002537504363
RAB6C-AS1,-0.07348327348900509
CD300LD,0.09797590408413288
UBE2DNL,-0.0460850881771215
KIR2DS2,0.053706409226317
FAM157B,-0.09952176881715087
FCGR1CP,0.1489301225815525
PGAM1P5,0.13044632749888851
DCAF13P3,-1.0911597589192756
PMS2P9,0.10902233626790249
RASA4DP,0.04653096554794792
CD24,0.016610711922050447
KCNJ18,0.12897392663226853
UPK3BL1,0.5681321644868992
JMJD7,-0.15655824562796514
PLA2G4B,0.07696695008734276
HDAC5,0.002968346583365557
C17orf99,-0.04094610337324852
CTAGE8,0.0035624795603915868
KLLN,-0.2682338866019833
PDCD6IP,-0.17879301960629188
PDCD6,-0.10821627842490894
BCL2L10,-0.04841404817061129
SRRM5,-0.483088993130037
BCL2L11,-0.03618755490102107
TOMM6,-0.1539115514018933
SH2B3,-0.01881041416545148
C5orf52,-0.26761491122045117
PPIAP30,-0.0510221944780942
CDH4,-0.08072413325968554
GNE,-0.14607004536117668
HCN4,0.005145706990029806
INSL5,-0.039895025681169934
FRAT1,-0.08299918918667536
TROAP,-0.01728846206531123
MED16,-0.07731918619025685
PIGK,-0.04574933346824752
ARHGEF33,-0.22070368316115227
MEF2B,0.08772343486716447
RASA4B,0.00946838622473028
CMC4,-0.12945601105619128
FAM86KP,0.2047249486115484
WASHC1,-0.021906898591698556
POTEB2,0.048129305957955136
ANKRD66,-0.3808046773891642
TTC34,-0.12422659665159415
NBPF20,-0.17917114550471677
WASH8P,0.010858450179584206
FRG2C,-0.024487377335022202
HYDIN2,-0.09453621560461602
FRG1CP,-0.045938539915800554
ZNF605,-0.09979602531278436
CDH5,-0.030340179221431004
GPR75-ASB3,0.026433651802659344
TMED7-TICAM2,-0.17471300084945426
TSNAX-DISC1,0.19360228369409624
NDUFAF4P1,0.04226428574587435
GCSHP3,0.013317724805721859
CHAF1A,-0.7878459297713994
NPPA-AS1,0.010194206404388105
PARP2,-0.03637688047697776
PARP3,0.012252163770920376
CDH6,-0.034924870563860635
TOM1L1,0.12955829501320193
DBET,-0.09562751389172389
HMGXB4,-0.07103226340745937
TOM1,0.06657711091009692
SH2D3C,-0.011096489870534831
SH2D3A,-0.038315757138534454
MAMLD1,-0.057296325814505916
CST8,0.033195206187631596
RANBP9,-0.016379904331245986
DNAJB6,-0.06445410191155675
CCDC180,-0.13959161735026202
CDH7,0.09395385330401378
SLC17A4,0.08719093358663267
LINC01602,0.15368626368863963
GPR176-DT,0.06718743680442502
SPATA1,0.13117282303785494
LINC01549,0.13128291531995942
PPP5D1,0.1754679696744445
ARL17B,0.061384496050068404
GVQW3,-0.052526474330597886
PTMAP9,-0.4651988864631686
OCLN,-0.0524505326171336
SLFN12L,-0.08320974734113465
SMLR1,-0.06980684029632862
ERVK13-1,0.0867771700603179
MICA,0.033279715237788124
SMC4,-1.07398315626674
TBC1D3J,-0.08859541012332456
GJC1,-0.10206033844956018
LY75-CD302,0.08397726063154477
ARPC4-TTLL3,-0.009502006245307299
MSANTD3-TMEFF1,-0.08866276557836135
RBM14-RBM4,0.1789118338239765
ATP5MF-PTCD1,-0.3120491241230274
ABHD14A-ACY1,0.05209784117084479
CCDC169-SOHLH2,-0.16272794643863767
RNF103-CHMP3,0.09453636019274168
STIMATE-MUSTN1,-0.10814196604618469
EPPIN-WFDC6,0.13947713504708037
ARPIN-AP3S2,-0.06920708884523738
NT5C1B-RDH14,0.1794642279841011
INMT-MINDY4,0.0630855854369627
FPGT-TNNI3K,-0.19187937797502064
BLOC1S5-TXNDC5,-0.08446778466042212
EEF1E1-BLOC1S5,0.05081778914484723
TGIF2-RAB5IF,-0.04892782197831636
GIMAP1-GIMAP5,0.06855658301411346
MROH7-TTC4,0.04950611040842821
PMF1-BGLAP,-0.23399187640835617
TLCD4-RWDD3,-0.07616166570544361
BORCS7-ASMT,-0.05768779781483099
TMX2-CTNND1,0.025453710245821576
SAA2-SAA4,-0.08838277321354468
ARL2-SNX15,-0.11598212542622073
POC1B-GALNT4,0.060302640353452425
KLRC4-KLRK1,0.13926067368980677
ARMCX5-GPRASP2,0.0799114760147897
NEDD8-MDP1,-0.166903166247751
BCL2L2-PABPN1,0.07414414348846338
RPL36A-HNRNPH2,-0.06459157404067271
CORO7-PAM16,0.09912389437695639
RPS10-NUDT3,-0.20093172588597308
