,0
A1BG,-0.038015139707335735
A1CF,-0.08651554969839523
A2M,0.04804608233094279
A2ML1,0.07408751137691275
A3GALT2,-0.12281420846163839
A4GALT,0.06428492485030222
A4GNT,0.07385426804549886
AAAS,-0.14841531586901616
AACS,-0.02123181993709875
AADAC,0.14525894980814924
AADACL2,-0.013397907285070027
AADACL3,0.06552726117264823
AADACL4,-0.02690749793632056
AADAT,-0.05709922896605789
AAGAB,-0.014910784744068515
AAK1,-0.14960191631140696
AAMDC,-0.010623336955693665
AAMP,-1.1162139867879741
AANAT,-0.07154129895972708
AAR2,-0.0038161863014110815
AARD,-0.13466601837478165
AARS1,-2.059464020192646
AARS2,-0.3626350253763
AARSD1,-0.16723195328728194
AASDH,-0.1370401640245836
AASDHPPT,-0.3247256132812736
AASS,-0.015267862693125245
AATF,-0.8608642216559326
AATK,-0.14394658070256927
ABAT,-0.025102685575304953
ABCA1,0.06124290930045504
ABCA10,0.006522242159580277
ABCA12,-0.015951964065594983
ABCA13,0.08670710843295708
ABCA2,0.0757177158059159
ABCA3,-0.025496944533823868
ABCA4,-0.20808160595900324
ABCA5,0.0042125875640304615
ABCA6,-0.03722466707300568
ABCA7,0.028858412155359895
ABCA8,-0.07015120098126207
ABCA9,-0.024550616534341124
ABCB1,-0.13320388329049604
ABCB10,-0.05283116203444047
ABCB11,-0.08408398689179097
ABCB4,-0.12649202460448103
ABCB5,-0.05337268021562824
ABCB6,0.03399576347682932
ABCB7,-1.1929836894850814
ABCB8,0.0993969487068356
ABCB9,0.0647209920660732
ABCC1,-0.024390681280650348
ABCC10,-0.16557990410044013
ABCC11,-0.03173809202363413
ABCC12,0.2500257130054369
ABCC2,-0.07561719981158176
ABCC3,-0.06948094850283788
ABCC4,0.12702638883895506
ABCC5,0.051139379199019196
ABCC6,-0.028168772337300287
ABCC8,0.15955370865908877
ABCC9,-0.1294109435782351
ABCD1,-0.1407905207560281
ABCD2,-0.08691044006139466
ABCD3,-0.1722283824926977
ABCD4,-0.1141846851298531
ABCE1,-2.1528286499579155
ABCF1,-1.0430514801105875
ABCF3,0.03865414947837835
ABCG1,0.03930724818358709
ABCG2,0.018062471217785127
ABCG4,0.013228364911426508
ABCG5,0.04656644504081496
ABCG8,-0.02904175639859136
ABHD1,0.003939677661381742
ABHD10,-0.008146858850324004
ABHD11,-0.30806668079092614
ABHD12,-0.011582361402040369
ABHD12B,0.06645997219641235
ABHD13,-0.10689359534069333
ABHD14A,0.07393579376017441
ABHD14B,-0.005478703606369544
ABHD15,-0.2444630434037669
ABHD16A,0.04359312478400337
ABHD16B,0.037458419907471036
ABHD17A,-0.27715270641520423
ABHD17B,-0.0025312340010552226
ABHD17C,0.0647060884569373
ABHD18,0.04902489176322337
ABHD2,-0.05726177154181142
ABHD3,-0.07005521910889806
ABHD4,0.038834192904723
ABHD5,-0.010232739107100878
ABHD6,0.06584854527873313
ABHD8,-0.03876187566021044
ABI1,-0.16072121932465638
ABI2,-0.0019115518323201226
ABI3,0.0310892045610226
ABI3BP,0.016605262771717772
ABITRAM,0.014007972037251962
ABL1,0.027444435730880772
ABL2,0.04481195986417431
ABLIM1,0.12923691396119016
ABLIM2,0.01714141412890508
ABLIM3,-0.002229381723913911
ABR,-0.09021572274753183
ABRA,0.18488569984905284
ABRACL,0.11414681847811482
ABRAXAS1,-0.2972353118089502
ABRAXAS2,0.17282692154555548
ABT1,-1.3065803829200038
ABTB1,0.006004352043363262
ABTB2,0.03937279256738257
ABTB3,0.02573017551708576
ACAA1,0.00949514451763614
ACAA2,-0.009522853457577085
ACACA,-0.3739836853644111
ACACB,-0.16517455919466673
ACAD10,-0.07892207889091496
ACAD11,0.06581062233812365
ACAD8,-0.011799882199227195
ACAD9,-0.24440194247964464
ACADL,0.01798962122005089
ACADM,0.030233596617878736
ACADS,-0.07327401916990771
ACADSB,0.009416705358480743
ACADVL,-0.004642444319191901
ACAN,-0.022162062539548662
ACAP1,-0.05759372802546118
ACAP2,-0.06618483695286256
ACAP3,-0.12291427041066702
ACAT1,0.007989707268973347
ACAT2,0.17349988699839547
ACBD3,-0.06229542031560395
ACBD4,-0.045882279946105324
ACBD5,0.03391835086066164
ACBD6,0.056601453388234746
ACBD7,0.17469177818688678
ACCS,0.05980001677948545
ACCSL,-0.09054530313837536
ACD,-0.35312189016323664
ACE,-0.15642001880425074
ACE2,0.22635139814750538
ACER1,-0.13624899913756472
ACER2,0.06298883596752997
ACER3,0.0820664286097892
ACHE,-0.14363371205807995
ACIN1,-0.6940693805639334
ACKR1,0.029051472745753194
ACKR2,0.06333109913486372
ACKR3,0.043236365496958314
ACKR4,-0.12852072363367045
ACLY,-0.554436022374763
ACMSD,-0.014899446029330628
ACO1,0.020007521401788166
ACO2,-0.7791096414430243
ACOD1,0.1013775621867021
ACOT1,0.2554916247191153
ACOT11,0.010804279789387236
ACOT12,-0.19847848188917486
ACOT13,0.09998846952395067
ACOT2,0.04063645839457537
ACOT4,-0.14710965162764547
ACOT6,-0.07618592686763231
ACOT7,0.08041679654667337
ACOT8,0.08335873407055687
ACOT9,-0.0029261723328196363
ACOX1,-0.2304602274373785
ACOX2,-0.05109075904520485
ACOX3,0.03881328598850635
ACOXL,-0.2823074836610166
ACP1,0.1370595047019121
ACP2,-0.028856957777319857
ACP3,-0.007968124464154607
ACP4,0.0782422417673821
ACP5,-0.017235292038886765
ACP6,-0.027399475765919733
ACP7,-0.207123269323017
ACR,-0.20828228486586794
ACRBP,-0.0019118009565014793
ACRV1,0.20299544505671713
